,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,id,file
4_13,0.015050854115048053,"[0.03184713375796178, 0.019230769230769232, 0.012903225806451613, 0.006493506493506494]",1.0,14.272727272727273,157,11,4_13,4
5_0,0.0,"[0.14492753623188406, 0.0, 0.0, 0.0]",0.30032244924551166,0.45394736842105265,69,152,5_0,5
5_1,0.0,"[0.013513513513513514, 0.0, 0.0, 0.0]",1.0,74.0,74,1,5_1,5
5_2,0.0,"[0.3333333333333333, 0.043478260869565216, 0.0, 0.0]",0.7788007830714049,0.8,24,30,5_2,5
5_3,0.0,"[0.23809523809523808, 0.05, 0.0, 0.0]",0.6832104226749482,0.7241379310344828,21,29,5_3,5
5_4,0.0,"[0.043478260869565216, 0.0, 0.0, 0.0]",1.0,1.0,23,23,5_4,5
5_5,0.0,"[0.3157894736842105, 0.0, 0.0, 0.0]",0.9000876262522594,0.9047619047619048,19,21,5_5,5
5_6,0.0,"[0.2857142857142857, 0.05, 0.0, 0.0]",1.0,1.0,21,21,5_6,5
5_7,0.2984745896009823,"[0.4444444444444444, 0.375, 0.2857142857142857, 0.16666666666666666]",1.0,1.2857142857142858,9,7,5_7,5
5_8,0.0,"[0.46153846153846156, 0.12, 0.041666666666666664, 0.0]",0.925961078642316,0.9285714285714286,26,28,5_8,5
5_9,0.0,"[0.23809523809523808, 0.05, 0.0, 0.0]",0.8265654376242381,0.84,21,25,5_9,5
5_10,0.5081327481546147,"[0.6666666666666666, 0.6, 0.5, 0.3333333333333333]",1.0,1.0,6,6,5_10,5
5_11,0.0,"[0.1, 0.0, 0.0, 0.0]",0.8607079764250577,0.8695652173913043,20,23,5_11,5
5_12,0.0,"[0.3, 0.05263157894736842, 0.0, 0.0]",0.8607079764250577,0.8695652173913043,20,23,5_12,5
5_13,0.0,"[0.3333333333333333, 0.15, 0.05263157894736842, 0.0]",1.0,1.1666666666666667,21,18,5_13,5
